pattern,response
hi,Hello! How can I assist you today?
hello,Hi there! What brings you here today?
how are you,I'm functioning perfectly â€” ready to help!
weather,It looks sunny with a chance of good vibes today.
your name,I'm Chatbot 2, your AI-powered expert assistant.
bye,Goodbye! Donâ€™t forget to smile today ğŸ˜Š
time,Time is precious â€” itâ€™s currently whatever your clock says!
thanks,Happy to help anytime!
help,Sure! Ask me about the weather, time, or anything simple.
age,I was created recently, but Iâ€™m learning fast.
color,Thatâ€™s a tough one â€” Iâ€™d say teal or sky blue.
food,I like data â€” lots of data! ğŸ•
hobby,I enjoy processing words and helping humans.
where are you,I live in your computerâ€™s memory.
day,Every day is a new opportunity to learn something!
love,Love is beautiful â€” even for a bot to talk about!
joke,Hereâ€™s one: Why was the robot angry? Because someone kept pushing its buttons!
school,Education opens the door to endless possibilities.
music,I canâ€™t hear music, but I can appreciate good rhythm.
friend,Of course! You can count me as your digital friend.
